comment_id,video_id,channel_title,platform,text,like_count,reply_count,published_at,extracted_at
cmt_00023,vid_0068,CiviqueMontréal,youtube,"Excellent travail, très équilibré.",110,1,2025-08-23 13:00:51.508006+00:00,2026-04-30 00:00:51.508006+00:00
cmt_00024,vid_0001,CiviqueMontréal,youtube,What about the provincial angle?,78,19,2025-05-11 05:00:51.508006+00:00,2026-04-30 00:00:51.508006+00:00
cmt_00025,vid_0048,CiviqueMontréal,youtube,"This is such an important topic, thank you for covering it!",92,0,2025-11-23 03:00:51.508006+00:00,2026-04-30 00:00:51.508006+00:00
cmt_00026,vid_0017,PolicyPulse,youtube,"À voir, j'attends la suite.",61,3,2025-09-02 02:00:51.508006+00:00,2026-04-30 00:00:51.508006+00:00
cmt_00027,vid_0007,CiviqueMontréal,youtube,"I learned so much from this video, keep it up!",147,11,2026-01-02 09:00:51.508006+00:00,2026-04-30 00:00:51.508006+00:00
cmt_00028,vid_0043,PolicyPulse,youtube,Et le point de vue des provinces?,130,11,2026-03-06 08:00:51.508006+00:00,2026-04-30 00:00:51.508006+00:00
cmt_00029,vid_0011,PolicyPulse,youtube,"Terrible take, you missed the entire point.",45,8,2026-02-17 17:00:51.508006+00:00,2026-04-30 00:00:51.508006+00:00
cmt_00030,vid_0043,PolicyPulse,youtube,"Bonne vidéo, mais manque de sources.",66,18,2026-03-05 11:00:51.508006+00:00,2026-04-30 00:00:51.508006+00:00
cmt_00031,vid_0011,PolicyPulse,youtube,"Bonne vidéo, mais manque de sources.",60,18,2026-02-17 10:00:51.508006+00:00,2026-04-30 00:00:51.508006+00:00
cmt_00032,vid_0010,PolicyPulse,youtube,"This is such an important topic, thank you for covering it!",142,5,2025-06-27 06:00:51.508006+00:00,2026-04-30 00:00:51.508006+00:00
cmt_00033,vid_0024,PolicyPulse,youtube,Et le point de vue des provinces?,91,8,2025-11-19 21:00:51.508006+00:00,2026-04-30 00:00:51.508006+00:00
cmt_00034,vid_0077,CiviqueMontréal,youtube,Good overview but you skipped the Indigenous perspective.,126,4,2026-01-29 20:00:51.508006+00:00,2026-04-30 00:00:51.508006+00:00
cmt_00035,vid_0047,CiviqueMontréal,youtube,Merci de couvrir ces sujets importants.,5,5,2026-02-17 06:00:51.508006+00:00,2026-04-30 00:00:51.508006+00:00
cmt_00036,vid_0038,CiviqueMontréal,youtube,"I learned so much from this video, keep it up!",14,11,2025-06-05 01:00:51.508006+00:00,2026-04-30 00:00:51.508006+00:00
cmt_00037,vid_0045,CiviqueMontréal,youtube,I wonder what the polling numbers say about this.,97,11,2026-03-09 22:00:51.508006+00:00,2026-04-30 00:00:51.508006+00:00
cmt_00038,vid_0049,CiviqueMontréal,youtube,"This is propaganda, plain and simple.",51,10,2025-11-03 14:00:51.508006+00:00,2026-04-30 00:00:51.508006+00:00
cmt_00039,vid_0034,PolicyPulse,youtube,I wonder what the polling numbers say about this.,54,19,2026-01-06 12:00:51.508006+00:00,2026-04-30 00:00:51.508006+00:00
cmt_00040,vid_0064,CiviqueMontréal,youtube,Contenu très partial et inexact.,19,18,2025-06-10 13:00:51.508006+00:00,2026-04-30 00:00:51.508006+00:00
cmt_00041,vid_0040,CiviqueMontréal,youtube,What about the provincial angle?,119,4,2026-02-07 22:00:51.508006+00:00,2026-04-30 00:00:51.508006+00:00
cmt_00042,vid_0041,CiviqueMontréal,youtube,Et le point de vue des provinces?,6,2,2025-09-01 04:00:51.508006+00:00,2026-04-30 00:00:51.508006+00:00
cmt_00043,vid_0005,CiviqueMontréal,youtube,Contenu très partial et inexact.,8,1,2025-06-08 20:00:51.508006+00:00,2026-04-30 00:00:51.508006+00:00
cmt_00044,vid_0045,CiviqueMontréal,youtube,"Great analysis, very informative and balanced.",109,6,2026-03-08 04:00:51.508006+00:00,2026-04-30 00:00:51.508006+00:00
cmt_00045,vid_0059,PolicyPulse,youtube,"I learned so much from this video, keep it up!",124,14,2026-01-18 13:00:51.508006+00:00,2026-04-30 00:00:51.508006+00:00
cmt_00046,vid_0033,PolicyPulse,youtube,"Great analysis, very informative and balanced.",35,12,2026-04-24 00:00:51.508006+00:00,2026-04-30 00:00:51.508006+00:00
cmt_00047,vid_0009,PolicyPulse,youtube,Exactly what I needed to understand the issue.,143,1,2025-07-02 23:00:51.508006+00:00,2026-04-30 00:00:51.508006+00:00
cmt_00048,vid_0035,CiviqueMontréal,youtube,"Excellent travail, très équilibré.",115,13,2025-08-08 10:00:51.508006+00:00,2026-04-30 00:00:51.508006+00:00
cmt_00049,vid_0056,PolicyPulse,youtube,Merci de couvrir ces sujets importants.,96,6,2025-10-18 00:00:51.508006+00:00,2026-04-30 00:00:51.508006+00:00
cmt_00050,vid_0053,PolicyPulse,youtube,Can you do a follow-up on the economic impact?,70,3,2026-03-23 03:00:51.508006+00:00,2026-04-30 00:00:51.508006+00:00
cmt_00051,vid_0013,PolicyPulse,youtube,"C'est n'importe quoi, aucune rigueur.",148,19,2026-03-20 16:00:51.508006+00:00,2026-04-30 00:00:51.508006+00:00
cmt_00052,vid_0016,CiviqueMontréal,youtube,Contenu très partial et inexact.,97,2,2026-04-18 12:00:51.508006+00:00,2026-04-30 00:00:51.508006+00:00
cmt_00053,vid_0035,CiviqueMontréal,youtube,"Great analysis, very informative and balanced.",12,16,2025-08-10 06:00:51.508006+00:00,2026-04-30 00:00:51.508006+00:00
cmt_00054,vid_0003,CiviqueMontréal,youtube,Good overview but you skipped the Indigenous perspective.,137,3,2025-11-19 22:00:51.508006+00:00,2026-04-30 00:00:51.508006+00:00
cmt_00055,vid_0014,PolicyPulse,youtube,"C'est n'importe quoi, aucune rigueur.",6,12,2025-10-02 16:00:51.508006+00:00,2026-04-30 00:00:51.508006+00:00
cmt_00056,vid_0015,CiviqueMontréal,youtube,What about the provincial angle?,149,11,2026-04-20 04:00:51.508006+00:00,2026-04-30 00:00:51.508006+00:00
cmt_00057,vid_0039,CiviqueMontréal,youtube,"Great analysis, very informative and balanced.",36,16,2025-11-24 12:00:51.508006+00:00,2026-04-30 00:00:51.508006+00:00
cmt_00058,vid_0068,CiviqueMontréal,youtube,"Bonne vidéo, mais manque de sources.",61,13,2025-08-25 09:00:51.508006+00:00,2026-04-30 00:00:51.508006+00:00
cmt_00059,vid_0061,PolicyPulse,youtube,"Très bon contenu, merci pour l'analyse!",54,14,2025-12-08 14:00:51.508006+00:00,2026-04-30 00:00:51.508006+00:00
cmt_00060,vid_0070,CiviqueMontréal,youtube,"This is propaganda, plain and simple.",49,9,2025-11-24 14:00:51.508006+00:00,2026-04-30 00:00:51.508006+00:00
cmt_00061,vid_0061,PolicyPulse,youtube,"This is propaganda, plain and simple.",75,8,2025-12-09 17:00:51.508006+00:00,2026-04-30 00:00:51.508006+00:00
cmt_00062,vid_0024,PolicyPulse,youtube,Stop spreading misinformation!,57,6,2025-11-19 17:00:51.508006+00:00,2026-04-30 00:00:51.508006+00:00
cmt_00063,vid_0039,CiviqueMontréal,youtube,I wonder what the polling numbers say about this.,15,0,2025-11-23 04:00:51.508006+00:00,2026-04-30 00:00:51.508006+00:00
cmt_00064,vid_0079,CiviqueMontréal,youtube,"À voir, j'attends la suite.",58,3,2025-07-25 00:00:51.508006+00:00,2026-04-30 00:00:51.508006+00:00
cmt_00065,vid_0027,CiviqueMontréal,youtube,"Great analysis, very informative and balanced.",3,12,2026-04-01 18:00:51.508006+00:00,2026-04-30 00:00:51.508006+00:00
cmt_00066,vid_0055,CiviqueMontréal,youtube,"I learned so much from this video, keep it up!",21,11,2025-12-15 16:00:51.508006+00:00,2026-04-30 00:00:51.508006+00:00
cmt_00067,vid_0000,PolicyPulse,youtube,Finally someone explaining this clearly. Subscribed!,105,10,2025-09-04 21:00:51.508006+00:00,2026-04-30 00:00:51.508006+00:00
cmt_00068,vid_0057,PolicyPulse,youtube,"À voir, j'attends la suite.",131,9,2026-03-24 22:00:51.508006+00:00,2026-04-30 00:00:51.508006+00:00
cmt_00069,vid_0060,CiviqueMontréal,youtube,"Terrible take, you missed the entire point.",108,5,2026-02-20 21:00:51.508006+00:00,2026-04-30 00:00:51.508006+00:00
cmt_00070,vid_0049,CiviqueMontréal,youtube,Contenu très partial et inexact.,11,2,2025-11-04 12:00:51.508006+00:00,2026-04-30 00:00:51.508006+00:00
cmt_00071,vid_0058,PolicyPulse,youtube,"Bonne vidéo, mais manque de sources.",82,19,2026-01-04 23:00:51.508006+00:00,2026-04-30 00:00:51.508006+00:00
cmt_00072,vid_0033,PolicyPulse,youtube,"C'est n'importe quoi, aucune rigueur.",23,5,2026-04-24 11:00:51.508006+00:00,2026-04-30 00:00:51.508006+00:00
cmt_00073,vid_0058,PolicyPulse,youtube,"Bonne vidéo, mais manque de sources.",51,0,2026-01-03 08:00:51.508006+00:00,2026-04-30 00:00:51.508006+00:00
cmt_00074,vid_0023,CiviqueMontréal,youtube,"This is completely biased, I can't believe this.",144,9,2025-07-22 15:00:51.508006+00:00,2026-04-30 00:00:51.508006+00:00
cmt_00075,vid_0078,PolicyPulse,youtube,What about the provincial angle?,146,4,2026-03-14 05:00:51.508006+00:00,2026-04-30 00:00:51.508006+00:00
cmt_00076,vid_0005,CiviqueMontréal,youtube,"Excellent travail, très équilibré.",33,11,2025-06-09 14:00:51.508006+00:00,2026-04-30 00:00:51.508006+00:00
cmt_00077,vid_0064,CiviqueMontréal,youtube,"Terrible take, you missed the entire point.",123,4,2025-06-08 02:00:51.508006+00:00,2026-04-30 00:00:51.508006+00:00
cmt_00078,vid_0004,CiviqueMontréal,youtube,"Great analysis, very informative and balanced.",55,2,2026-01-21 19:00:51.508006+00:00,2026-04-30 00:00:51.508006+00:00
cmt_00079,vid_0054,PolicyPulse,youtube,"Bonne vidéo, mais manque de sources.",116,0,2025-07-27 14:00:51.508006+00:00,2026-04-30 00:00:51.508006+00:00
cmt_00080,vid_0059,PolicyPulse,youtube,Contenu très partial et inexact.,57,0,2026-01-18 17:00:51.508006+00:00,2026-04-30 00:00:51.508006+00:00
cmt_00081,vid_0018,PolicyPulse,youtube,Can you do a follow-up on the economic impact?,128,8,2025-11-28 00:00:51.508006+00:00,2026-04-30 00:00:51.508006+00:00
cmt_00082,vid_0076,PolicyPulse,youtube,I wonder what the polling numbers say about this.,79,0,2025-12-04 06:00:51.508006+00:00,2026-04-30 00:00:51.508006+00:00
cmt_00083,vid_0032,CiviqueMontréal,youtube,Stop spreading misinformation!,100,5,2025-07-10 17:00:51.508006+00:00,2026-04-30 00:00:51.508006+00:00
cmt_00084,vid_0033,PolicyPulse,youtube,"Excellent travail, très équilibré.",116,17,2026-04-24 16:00:51.508006+00:00,2026-04-30 00:00:51.508006+00:00
cmt_00085,vid_0023,CiviqueMontréal,youtube,Good overview but you skipped the Indigenous perspective.,59,2,2025-07-20 19:00:51.508006+00:00,2026-04-30 00:00:51.508006+00:00
cmt_00086,vid_0043,PolicyPulse,youtube,Merci de couvrir ces sujets importants.,101,1,2026-03-07 00:00:51.508006+00:00,2026-04-30 00:00:51.508006+00:00
cmt_00087,vid_0027,CiviqueMontréal,youtube,Good overview but you skipped the Indigenous perspective.,121,10,2026-04-01 23:00:51.508006+00:00,2026-04-30 00:00:51.508006+00:00
cmt_00088,vid_0051,CiviqueMontréal,youtube,What about the provincial angle?,80,2,2026-03-09 08:00:51.508006+00:00,2026-04-30 00:00:51.508006+00:00
cmt_00089,vid_0045,CiviqueMontréal,youtube,Contenu très partial et inexact.,105,14,2026-03-09 18:00:51.508006+00:00,2026-04-30 00:00:51.508006+00:00
cmt_00090,vid_0004,CiviqueMontréal,youtube,"This is propaganda, plain and simple.",32,9,2026-01-20 00:00:51.508006+00:00,2026-04-30 00:00:51.508006+00:00
cmt_00091,vid_0010,PolicyPulse,youtube,"This is such an important topic, thank you for covering it!",10,7,2025-06-27 14:00:51.508006+00:00,2026-04-30 00:00:51.508006+00:00
cmt_00092,vid_0044,PolicyPulse,youtube,"Interesting perspective, but I'd like to see more data.",144,12,2026-01-19 15:00:51.508006+00:00,2026-04-30 00:00:51.508006+00:00
cmt_00093,vid_0027,CiviqueMontréal,youtube,"À voir, j'attends la suite.",143,19,2026-04-01 06:00:51.508006+00:00,2026-04-30 00:00:51.508006+00:00
cmt_00094,vid_0040,CiviqueMontréal,youtube,Exactly what I needed to understand the issue.,52,17,2026-02-08 03:00:51.508006+00:00,2026-04-30 00:00:51.508006+00:00
cmt_00095,vid_0018,PolicyPulse,youtube,Merci de couvrir ces sujets importants.,136,6,2025-11-29 14:00:51.508006+00:00,2026-04-30 00:00:51.508006+00:00
cmt_00096,vid_0078,PolicyPulse,youtube,"Bonne vidéo, mais manque de sources.",92,13,2026-03-13 01:00:51.508006+00:00,2026-04-30 00:00:51.508006+00:00
cmt_00097,vid_0023,CiviqueMontréal,youtube,"Great analysis, very informative and balanced.",48,3,2025-07-20 11:00:51.508006+00:00,2026-04-30 00:00:51.508006+00:00
cmt_00098,vid_0027,CiviqueMontréal,youtube,"Excellent travail, très équilibré.",9,11,2026-03-30 18:00:51.508006+00:00,2026-04-30 00:00:51.508006+00:00
cmt_00099,vid_0063,PolicyPulse,youtube,Stop spreading misinformation!,65,17,2025-10-05 10:00:51.508006+00:00,2026-04-30 00:00:51.508006+00:00
cmt_00100,vid_0075,CiviqueMontréal,youtube,"À voir, j'attends la suite.",38,16,2026-04-01 00:00:51.508006+00:00,2026-04-30 00:00:51.508006+00:00
cmt_00101,vid_0072,CiviqueMontréal,youtube,"Terrible take, you missed the entire point.",27,3,2025-11-03 16:00:51.508006+00:00,2026-04-30 00:00:51.508006+00:00
cmt_00102,vid_0025,PolicyPulse,youtube,"Interesting perspective, but I'd like to see more data.",47,19,2025-10-03 08:00:51.508006+00:00,2026-04-30 00:00:51.508006+00:00
cmt_00103,vid_0041,CiviqueMontréal,youtube,Can you do a follow-up on the economic impact?,5,18,2025-09-03 21:00:51.508006+00:00,2026-04-30 00:00:51.508006+00:00
cmt_00104,vid_0059,PolicyPulse,youtube,"This is such an important topic, thank you for covering it!",7,4,2026-01-17 17:00:51.508006+00:00,2026-04-30 00:00:51.508006+00:00
cmt_00105,vid_0005,CiviqueMontréal,youtube,What about the provincial angle?,77,15,2025-06-08 22:00:51.508006+00:00,2026-04-30 00:00:51.508006+00:00
cmt_00106,vid_0003,CiviqueMontréal,youtube,"This is such an important topic, thank you for covering it!",95,7,2025-11-21 07:00:51.508006+00:00,2026-04-30 00:00:51.508006+00:00
cmt_00107,vid_0004,CiviqueMontréal,youtube,Good overview but you skipped the Indigenous perspective.,31,19,2026-01-19 21:00:51.508006+00:00,2026-04-30 00:00:51.508006+00:00
cmt_00108,vid_0039,CiviqueMontréal,youtube,Good overview but you skipped the Indigenous perspective.,22,0,2025-11-22 20:00:51.508006+00:00,2026-04-30 00:00:51.508006+00:00
cmt_00109,vid_0008,PolicyPulse,youtube,You clearly don't understand how policy works.,0,2,2025-08-24 12:00:51.508006+00:00,2026-04-30 00:00:51.508006+00:00
cmt_00110,vid_0021,PolicyPulse,youtube,"I learned so much from this video, keep it up!",61,8,2025-09-13 15:00:51.508006+00:00,2026-04-30 00:00:51.508006+00:00
cmt_00111,vid_0062,CiviqueMontréal,youtube,"Terrible take, you missed the entire point.",39,4,2025-10-16 23:00:51.508006+00:00,2026-04-30 00:00:51.508006+00:00
cmt_00112,vid_0047,CiviqueMontréal,youtube,Can you do a follow-up on the economic impact?,129,13,2026-02-17 00:00:51.508006+00:00,2026-04-30 00:00:51.508006+00:00
cmt_00113,vid_0018,PolicyPulse,youtube,Finally someone explaining this clearly. Subscribed!,139,9,2025-11-28 03:00:51.508006+00:00,2026-04-30 00:00:51.508006+00:00
cmt_00114,vid_0039,CiviqueMontréal,youtube,Good overview but you skipped the Indigenous perspective.,28,3,2025-11-23 19:00:51.508006+00:00,2026-04-30 00:00:51.508006+00:00
cmt_00115,vid_0003,CiviqueMontréal,youtube,"This is such an important topic, thank you for covering it!",137,1,2025-11-19 00:00:51.508006+00:00,2026-04-30 00:00:51.508006+00:00
cmt_00116,vid_0074,CiviqueMontréal,youtube,Finally someone explaining this clearly. Subscribed!,23,2,2025-06-01 02:00:51.508006+00:00,2026-04-30 00:00:51.508006+00:00
cmt_00117,vid_0049,CiviqueMontréal,youtube,"This is such an important topic, thank you for covering it!",85,4,2025-11-04 18:00:51.508006+00:00,2026-04-30 00:00:51.508006+00:00
cmt_00118,vid_0054,PolicyPulse,youtube,"Excellent travail, très équilibré.",42,17,2025-07-26 14:00:51.508006+00:00,2026-04-30 00:00:51.508006+00:00
cmt_00119,vid_0049,CiviqueMontréal,youtube,Merci de couvrir ces sujets importants.,115,19,2025-11-05 13:00:51.508006+00:00,2026-04-30 00:00:51.508006+00:00
cmt_00120,vid_0023,CiviqueMontréal,youtube,You clearly don't understand how policy works.,83,9,2025-07-22 21:00:51.508006+00:00,2026-04-30 00:00:51.508006+00:00
cmt_00121,vid_0048,CiviqueMontréal,youtube,"This is completely biased, I can't believe this.",54,14,2025-11-25 10:00:51.508006+00:00,2026-04-30 00:00:51.508006+00:00
cmt_00122,vid_0011,PolicyPulse,youtube,"This is propaganda, plain and simple.",16,12,2026-02-16 21:00:51.508006+00:00,2026-04-30 00:00:51.508006+00:00
cmt_00123,vid_0017,PolicyPulse,youtube,"Bonne vidéo, mais manque de sources.",47,16,2025-09-01 05:00:51.508006+00:00,2026-04-30 00:00:51.508006+00:00
cmt_00124,vid_0068,CiviqueMontréal,youtube,"This is such an important topic, thank you for covering it!",57,0,2025-08-25 02:00:51.508006+00:00,2026-04-30 00:00:51.508006+00:00
cmt_00125,vid_0013,PolicyPulse,youtube,Et le point de vue des provinces?,106,6,2026-03-21 05:00:51.508006+00:00,2026-04-30 00:00:51.508006+00:00
cmt_00126,vid_0066,PolicyPulse,youtube,"This is propaganda, plain and simple.",22,11,2025-10-01 17:00:51.508006+00:00,2026-04-30 00:00:51.508006+00:00
cmt_00127,vid_0010,PolicyPulse,youtube,"Très bon contenu, merci pour l'analyse!",103,1,2025-06-27 12:00:51.508006+00:00,2026-04-30 00:00:51.508006+00:00
cmt_00128,vid_0063,PolicyPulse,youtube,"Terrible take, you missed the entire point.",39,0,2025-10-06 18:00:51.508006+00:00,2026-04-30 00:00:51.508006+00:00
cmt_00129,vid_0001,CiviqueMontréal,youtube,Stop spreading misinformation!,87,7,2025-05-09 09:00:51.508006+00:00,2026-04-30 00:00:51.508006+00:00
cmt_00130,vid_0045,CiviqueMontréal,youtube,"C'est n'importe quoi, aucune rigueur.",62,10,2026-03-08 11:00:51.508006+00:00,2026-04-30 00:00:51.508006+00:00
cmt_00131,vid_0049,CiviqueMontréal,youtube,"Très bon contenu, merci pour l'analyse!",7,8,2025-11-04 18:00:51.508006+00:00,2026-04-30 00:00:51.508006+00:00
cmt_00132,vid_0010,PolicyPulse,youtube,What about the provincial angle?,146,16,2025-06-27 13:00:51.508006+00:00,2026-04-30 00:00:51.508006+00:00
cmt_00133,vid_0001,CiviqueMontréal,youtube,Can you do a follow-up on the economic impact?,34,16,2025-05-11 14:00:51.508006+00:00,2026-04-30 00:00:51.508006+00:00
cmt_00134,vid_0067,CiviqueMontréal,youtube,What about the provincial angle?,27,11,2025-10-17 13:00:51.508006+00:00,2026-04-30 00:00:51.508006+00:00
cmt_00135,vid_0031,PolicyPulse,youtube,I wonder what the polling numbers say about this.,108,15,2025-11-04 16:00:51.508006+00:00,2026-04-30 00:00:51.508006+00:00
cmt_00136,vid_0021,PolicyPulse,youtube,Contenu très partial et inexact.,22,8,2025-09-14 18:00:51.508006+00:00,2026-04-30 00:00:51.508006+00:00
cmt_00137,vid_0041,CiviqueMontréal,youtube,"This is such an important topic, thank you for covering it!",119,7,2025-09-02 13:00:51.508006+00:00,2026-04-30 00:00:51.508006+00:00
cmt_00138,vid_0034,PolicyPulse,youtube,"I learned so much from this video, keep it up!",115,17,2026-01-06 23:00:51.508006+00:00,2026-04-30 00:00:51.508006+00:00
cmt_00139,vid_0031,PolicyPulse,youtube,Good overview but you skipped the Indigenous perspective.,22,7,2025-11-05 21:00:51.508006+00:00,2026-04-30 00:00:51.508006+00:00
cmt_00140,vid_0021,PolicyPulse,youtube,Finally someone explaining this clearly. Subscribed!,137,17,2025-09-14 22:00:51.508006+00:00,2026-04-30 00:00:51.508006+00:00
cmt_00141,vid_0073,CiviqueMontréal,youtube,"Great analysis, very informative and balanced.",70,17,2026-01-17 04:00:51.508006+00:00,2026-04-30 00:00:51.508006+00:00
cmt_00142,vid_0051,CiviqueMontréal,youtube,Merci de couvrir ces sujets importants.,61,10,2026-03-09 06:00:51.508006+00:00,2026-04-30 00:00:51.508006+00:00
cmt_00143,vid_0059,PolicyPulse,youtube,I wonder what the polling numbers say about this.,117,18,2026-01-17 17:00:51.508006+00:00,2026-04-30 00:00:51.508006+00:00
cmt_00144,vid_0035,CiviqueMontréal,youtube,"This is completely biased, I can't believe this.",104,17,2025-08-10 14:00:51.508006+00:00,2026-04-30 00:00:51.508006+00:00
cmt_00145,vid_0063,PolicyPulse,youtube,"This is such an important topic, thank you for covering it!",30,8,2025-10-06 05:00:51.508006+00:00,2026-04-30 00:00:51.508006+00:00
cmt_00146,vid_0036,CiviqueMontréal,youtube,"This is completely biased, I can't believe this.",148,7,2026-02-04 09:00:51.508006+00:00,2026-04-30 00:00:51.508006+00:00
cmt_00147,vid_0057,PolicyPulse,youtube,Stop spreading misinformation!,59,12,2026-03-22 22:00:51.508006+00:00,2026-04-30 00:00:51.508006+00:00
cmt_00148,vid_0027,CiviqueMontréal,youtube,I wonder what the polling numbers say about this.,57,8,2026-03-30 00:00:51.508006+00:00,2026-04-30 00:00:51.508006+00:00
cmt_00149,vid_0048,CiviqueMontréal,youtube,"Terrible take, you missed the entire point.",70,1,2025-11-23 14:00:51.508006+00:00,2026-04-30 00:00:51.508006+00:00
cmt_00150,vid_0027,CiviqueMontréal,youtube,"I learned so much from this video, keep it up!",115,2,2026-03-30 23:00:51.508006+00:00,2026-04-30 00:00:51.508006+00:00
cmt_00151,vid_0013,PolicyPulse,youtube,"Interesting perspective, but I'd like to see more data.",50,0,2026-03-21 20:00:51.508006+00:00,2026-04-30 00:00:51.508006+00:00
cmt_00152,vid_0058,PolicyPulse,youtube,Finally someone explaining this clearly. Subscribed!,70,15,2026-01-04 18:00:51.508006+00:00,2026-04-30 00:00:51.508006+00:00
cmt_00153,vid_0070,CiviqueMontréal,youtube,"I learned so much from this video, keep it up!",30,19,2025-11-23 13:00:51.508006+00:00,2026-04-30 00:00:51.508006+00:00
cmt_00154,vid_0038,CiviqueMontréal,youtube,I wonder what the polling numbers say about this.,68,5,2025-06-04 09:00:51.508006+00:00,2026-04-30 00:00:51.508006+00:00
cmt_00155,vid_0003,CiviqueMontréal,youtube,"Interesting perspective, but I'd like to see more data.",143,4,2025-11-20 22:00:51.508006+00:00,2026-04-30 00:00:51.508006+00:00
cmt_00156,vid_0053,PolicyPulse,youtube,"I learned so much from this video, keep it up!",35,5,2026-03-21 09:00:51.508006+00:00,2026-04-30 00:00:51.508006+00:00
cmt_00157,vid_0023,CiviqueMontréal,youtube,"This is propaganda, plain and simple.",131,15,2025-07-22 16:00:51.508006+00:00,2026-04-30 00:00:51.508006+00:00
cmt_00158,vid_0008,PolicyPulse,youtube,"C'est n'importe quoi, aucune rigueur.",53,19,2025-08-24 18:00:51.508006+00:00,2026-04-30 00:00:51.508006+00:00
cmt_00159,vid_0005,CiviqueMontréal,youtube,Merci de couvrir ces sujets importants.,45,4,2025-06-09 15:00:51.508006+00:00,2026-04-30 00:00:51.508006+00:00
